PrimaryNetworkName,SeriesID,SeriesName,SeriesDescription,ProductionCompany,PieceLength,Genres,ReleaseDate,ProgramTypeSS,BannerURL,IsFeatured,SeasonCount,EpisodeCount,PromoVideoURL,PromoImageURL,TrailerVideoURL,TrailerImageURL,SpanishVideoURL,SpanishImageURL
The History Channel,2,Minute By Minute,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Towers Productions,1,History,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/211/811/s-2-minute-by-minute-dpb-tablet_PageBanner1536x792_1536x792_688499267761.jpg,,1,10,,http://placehold.it/290x165,,http://placehold.it/290x165,,http://placehold.it/290x165
Lifetime Television,3,Mysteries Of The Bible,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Filmroos,2,"Crime, Entertainment",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/212/286/s-3-mysteries-of-the-bible-dpb-tablet_PageBanner1536x792_1536x792_688489027812.jpg,,2,20,,http://placehold.it/290x166,,http://placehold.it/290x166,,http://placehold.it/290x166
A&E Television Network,5,Mail Call,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Kurtis,0.5,"Crime, History",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/297/227/s-4404-worlds-deadliest-aircraft-dpb-tablet_PageBanner1536x792_1536x792_688550467873.jpg,,3,30,,http://placehold.it/290x167,,http://placehold.it/290x167,,http://placehold.it/290x167
The History Channel,6,Guts & Bolts,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Towers Productions,0.2,Crime,15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/223/1023/s-6-guts-bolts-dpb-tablet_PageBanner1536x792_1536x792_688508995595.jpg,,4,40,,http://placehold.it/290x168,,http://placehold.it/290x168,,http://placehold.it/290x168
Lifetime Television,8,History's Mysteries,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Filmroos,0.13,"Entertainment, Technology & engineering",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/83/s-8-historys-mysteries-dpb-tablet_PageBanner1536x792_1536x792_688512579831.jpg,TRUE,1,10,,http://placehold.it/290x169,,http://placehold.it/290x169,,http://placehold.it/290x169
A&E Television Network,9,Modern Marvels,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Kurtis,1,History,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/582/s-9-modern-marvels-dpb-tablet_PageBanner1536x792_1536x792_688295491683.jpg,,2,20,,http://placehold.it/290x170,,http://placehold.it/290x170,,http://placehold.it/290x170
The History Channel,10,Haunted History (2001),"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Towers Productions,2,"Crime, Entertainment",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/1000/451/s-10-haunted-history-2001-dpb-tablet_PageBanner1536x792_1536x792_688248387523.jpg,TRUE,3,30,,http://placehold.it/290x171,,http://placehold.it/290x171,,http://placehold.it/290x171
Lifetime Television,11,Cold Case Files,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Filmroos,0.5,"Crime, History",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/582/s-11-cold-case-files-dpb-tablet_PageBanner1536x792_1536x792_688494147716.jpg,,4,40,,http://placehold.it/290x172,,http://placehold.it/290x172,,http://placehold.it/290x172
A&E Television Network,12,City Confidential,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Kurtis,0.2,Crime,15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/304/559/s-12-city-confidential-dpb-tablet_PageBanner1536x792_1536x792_688245827885.jpg,,1,10,,http://placehold.it/290x173,,http://placehold.it/290x173,,http://placehold.it/290x173
The History Channel,13,Spy Web,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Towers Productions,0.13,"Entertainment, Technology & engineering",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/217/666/s-13-spy-web-dpb-tablet_PageBanner1536x792_1536x792_688494147619.jpg,TRUE,2,20,,http://placehold.it/290x174,,http://placehold.it/290x174,,http://placehold.it/290x174
